timestamp,owner,repo,kind,severity,title,action,state,url,details
2026-04-24T17:44:57.828305+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/206,
2026-04-24T17:44:57.828401+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/204,
2026-04-24T17:44:57.828496+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/202,
2026-04-24T17:44:57.828591+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/200,
2026-04-24T17:44:57.828686+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/198,
2026-04-24T17:44:57.828807+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/196,
2026-04-24T17:44:57.828907+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/194,
2026-04-24T17:44:57.829005+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/192,
2026-04-24T17:44:57.829101+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/190,
2026-04-24T17:44:57.829196+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/188,
2026-04-24T17:44:57.829290+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/186,
2026-04-24T17:44:57.829386+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/184,
2026-04-24T17:44:57.829481+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/182,
2026-04-24T17:44:57.829579+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/180,
2026-04-24T17:44:57.829674+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/178,
2026-04-24T17:44:57.829768+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/176,
2026-04-24T17:44:57.829863+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/174,
2026-04-24T17:44:57.829957+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/172,
2026-04-24T17:44:57.830052+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/170,
2026-04-24T17:44:57.830146+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/169,
2026-04-24T17:44:57.830241+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/166,
2026-04-24T17:44:57.830336+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/164,
2026-04-24T17:44:57.830432+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/163,
2026-04-24T17:44:57.830526+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/160,
2026-04-24T17:44:57.830621+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/158,
2026-04-24T17:44:57.830716+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/156,
2026-04-24T17:44:57.830811+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/154,
2026-04-24T17:44:57.830905+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/152,
